发票代码,发票号码,开票日期,验证码
044001629111,64504308,20230105,01136308927145314480
044002200311,76207407,20230105,62956948420498144203
044002200311,76207506,20230106,51472968813772235621
044002200311,76207617,20230108,55586740842957071108
044002200311,76207816,20230110,69204089711910151237
044002200311,76208049,20230113,65525888273914992477
044002200311,76208050,20230113,59198983331951072726
044002200311,76208406,20230116,62362858701432362937
044002200311,76208665,20230119,77807519262346886652
044002100511,78798459,20230111,50101632551622055154
044001909211,77944286,20230115,45586000752955637080
044002100511,78799219,20230130,48164667471080372727
044001909211,82394883,20230101,53582363042653991765
044001909211,79035226,20230118,76637858364200525343
044002200611,84361195,20230129,50734706591671343180
044002200611,84360005,20230117,70796873773067737312
044002200611,84360391,20230119,85359267150907479768
044002200611,86213862,20230102,18334007992689013868
044002200611,86218646,20230116,02815270859971706985
044002200611,86218345,20230115,16036576771391776621
044002007111,89468955,20230103,69012656842410988049
044002007111,89471187,20230117,79200421844211378113
044002200611,86218849,20230116,00888414553802255977
044002007111,92250668,20230104,71249250801683753827
044002007111,92288281,20230115,71266620122348141132
044002007111,92252034,20230109,80656829161802556986
044002007111,92289490,20230128,67813216961622315784
044002007111,92288729,20230118,44956980552536168404
044002200411,94299675,20230130,53754300852868168702
044002007111,98863017,20230119,65526465491542400291
